fold,model,train_rows,validation_rows,train_drives,validation_drives,train_positives,validation_positives,train_failure_rate,validation_failure_rate,serial_overlap,train_roc_auc,validation_roc_auc,roc_auc_gap,train_pr_auc,validation_pr_auc,pr_auc_gap,validation_precision_at_050,validation_recall_at_050,validation_f1_at_050,fit_seconds
0,Logistic Regression,5949552,1487748,224953,56239,262,62,4.4036929167103674e-05,4.1673724313526216e-05,0,0.8799502702862778,0.7803330897133037,0.09961718057297408,0.006240576564201655,0.0073559646562652795,-0.0011153880920636242,0.0022228808535862477,0.4838709677419355,0.004425431479569258,11.790161598000054
0,Random Forest,5949552,1487748,224953,56239,262,62,4.4036929167103674e-05,4.1673724313526216e-05,0,0.8838253291986257,0.433645608011368,0.4501797211872577,0.002339035859656528,0.0001356153378495861,0.002203420521806942,0.000264861683343143,0.14516129032258066,0.0005287585923271253,130.685931879
0,XGBoost,5949552,1487748,224953,56239,262,62,4.4036929167103674e-05,4.1673724313526216e-05,0,0.8853481390472934,0.5094255386791863,0.3759226003681071,0.06734023097558639,0.005529601062497221,0.061810629913089166,0.00039799014974379384,0.25806451612903225,0.0007947546195112259,78.111870812
1,Logistic Regression,5948343,1488957,224950,56242,260,64,4.370965157859928e-05,4.2983108310045216e-05,0,0.8609575739974349,0.9044396837532984,-0.04348210975586353,0.0066496857996834234,0.006972538114085386,-0.00032285231440196214,0.002634498058790904,0.59375,0.005245720596355604,12.221991339999931
1,Random Forest,5948343,1488957,224950,56242,260,64,4.370965157859928e-05,4.2983108310045216e-05,0,0.8645838169787062,0.43039362969669415,0.4341901872820121,0.001635127589889354,0.000308287736084056,0.001326839853805298,0.0004982786736727668,0.171875,0.000993676603432701,131.18626311899993
1,XGBoost,5948343,1488957,224950,56242,260,64,4.370965157859928e-05,4.2983108310045216e-05,0,0.867337102235615,0.551467154414387,0.315869947821228,0.10121976228380762,0.00999282056184845,0.09122694172195916,0.0009398142926957633,0.390625,0.0018751171948246765,77.44858017999991
2,Logistic Regression,5951962,1485338,224957,56235,270,54,4.536319284296506e-05,3.635536154060557e-05,0,0.869267603353927,0.8709988385311422,-0.0017312351772151846,0.006429931939166126,0.006135425060240541,0.000294506878925585,0.0022593764121102574,0.5555555555555556,0.004500450045004501,11.636362455999915
2,Random Forest,5951962,1485338,224957,56235,270,54,4.536319284296506e-05,3.635536154060557e-05,0,0.8744359556041343,0.4694658096064831,0.40497014599765124,0.0022593193443644346,0.00020176412060108828,0.0020575552237633464,0.00026609112142624843,0.16666666666666666,0.0005313339433834165,130.6894055759999
2,XGBoost,5951962,1485338,224957,56235,270,54,4.536319284296506e-05,3.635536154060557e-05,0,0.8756143833334069,0.578572689976637,0.2970416933567699,0.08430062570186259,0.0021230074869104903,0.08217761821495209,0.0005386743713425234,0.4074074074074074,0.001075926152341362,77.3151697610001
3,Logistic Regression,5948784,1488516,224954,56238,246,78,4.135298911508638e-05,5.2401183460574154e-05,0,0.8558198174550711,0.9125816322125474,-0.056761814757476325,0.006517758319898646,0.005673200547132905,0.0008445577727657413,0.002467051873011751,0.48717948717948717,0.004909243588915445,11.63111402100003
3,Random Forest,5948784,1488516,224954,56238,246,78,4.135298911508638e-05,5.2401183460574154e-05,0,0.859725773446657,0.31133506125040883,0.5483907121962481,0.0014781029071003714,0.00024106434003178583,0.0012370385670685856,0.0004786979415988511,0.1282051282051282,0.0009538344143456696,130.25979085799986
3,XGBoost,5948784,1488516,224954,56238,246,78,4.135298911508638e-05,5.2401183460574154e-05,0,0.8620591639696934,0.5478359201270401,0.3142232438426533,0.07624097912795483,0.022810560727473242,0.053430418400481586,0.0010323468685478321,0.38461538461538464,0.0020591667238657424,84.13386149500002
4,Logistic Regression,5950559,1486741,224954,56238,258,66,4.335727114040882e-05,4.439239921412001e-05,0,0.8780360855798749,0.8231026273293413,0.05493345825053364,0.006165355472211009,0.006576814598401082,-0.00041145912619007345,0.0024830699774266367,0.5,0.004941599281221923,11.653958682999928
4,Random Forest,5950559,1486741,224954,56238,258,66,4.335727114040882e-05,4.439239921412001e-05,0,0.8849363006428016,0.4248236123829309,0.4601126882598707,0.0017186913668704653,0.00014906090816717632,0.001569630458703289,0.00035591410606240363,0.09090909090909091,0.0007090522335145356,131.1968059169999
4,XGBoost,5950559,1486741,224954,56238,258,66,4.335727114040882e-05,4.439239921412001e-05,0,0.8876810403008093,0.5856497899777366,0.30203125032307265,0.08330160370887522,0.01629689582134194,0.06700470788753328,0.0008722363381243126,0.3484848484848485,0.0017401172687724607,76.99147878800022
