threshold,serial_number,fold,failure_date,first_alert_date,lead_time_days,alerted,max_eligible_score
0.35,1090A01EF9RG,1,2023-12-23,,,False,0.34704210934105184
0.35,10B0A0U8F97G,3,2023-11-21,2023-10-26,26.0,True,0.38909980963895946
0.35,10K0A0M7F97G,0,2023-11-07,,,False,0.30158726606591085
0.35,11C0A012F97G,0,2023-11-30,,,False,0.3341195270929709
0.35,11J0A05FF97G,0,2023-10-06,,,False,0.3341195270929709
0.35,1270A0J1FVKG,3,2023-12-22,2023-12-22,0.0,True,0.3630029231485883
0.35,1270A0JSFVKG,4,2023-10-23,,,False,0.3348234870593261
0.35,1270A17RFVKG,4,2023-12-28,,,False,0.3348234870593261
0.35,1280A03BFVKG,3,2023-11-07,,,False,0.3392101623784625
0.35,1290A08EFVKG,2,2023-11-05,,,False,0.34245999409712896
0.35,1290A0TVFVKG,1,2023-11-06,2023-11-05,1.0,True,0.37098527147387156
0.35,12C0A041FVKG,3,2023-10-22,2023-10-22,0.0,True,0.4403594624238873
0.35,13R0A07LFVKG,3,2023-12-20,,,False,0.3385182318271604
0.35,17OYTGKWT,1,2023-12-12,2023-10-01,72.0,True,0.9933139986596169
0.35,17OYTGL6T,3,2023-11-17,2023-10-07,41.0,True,0.9888396847706427
0.35,2003261EDB73,1,2023-11-29,,,False,0.34704210934105184
0.35,20H0A087F97G,3,2023-11-10,2023-11-10,0.0,True,0.3635744420727479
0.35,20H0A13FF97G,0,2023-10-30,,,False,0.3341195270929709
0.35,20W0A0RGF97G,4,2023-12-20,2023-10-01,80.0,True,0.5233392404606398
0.35,22321A803710,4,2023-10-07,,,False,0.3348234870593261
0.35,22331T804912,0,2023-10-05,,,False,0.3341195270929709
0.35,2AGH35LY,3,2023-11-09,2023-10-01,39.0,True,0.999936244254838
0.35,2AGLY65Y,3,2023-11-20,2023-11-10,10.0,True,0.4408161948887267
0.35,2AGMK1TY,3,2023-10-14,2023-10-14,0.0,True,0.4140485732060822
0.35,2AGMLUAY,1,2023-10-24,2023-10-02,22.0,True,0.6019479373102078
0.35,2AGMLZUY,3,2023-12-12,2023-10-05,68.0,True,0.7115450413117544
0.35,2AGMND3Y,2,2023-11-08,2023-10-01,38.0,True,0.9139647175238116
0.35,2AGMNGUY,0,2023-10-26,,,False,0.31438428446962924
0.35,2AGMUVEY,1,2023-11-24,2023-10-02,53.0,True,0.7628158838444851
0.35,2AGN7XWY,4,2023-11-10,,,False,0.3348234870593261
0.35,2AGNKB9Y,1,2023-11-29,,,False,0.34704210934105184
0.35,2AGPPLLY,4,2023-11-29,2023-10-06,54.0,True,0.9974365881919899
0.35,2BJBGNDN,0,2023-11-17,,,False,0.3341195270929709
0.35,2BK9LUJR,4,2023-11-07,,,False,0.3348234870593261
0.35,2BKY735T,1,2023-12-14,2023-11-20,24.0,True,0.7375204972074509
