serial_number,first_observation_date,last_observation_date,observed_days,is_failed,overall_max_probability,overall_mean_probability,failure_date,eligible_max_probability,eligible_mean_probability,eligible_observed_days,alerted_primary,alert_days_primary,first_alert_date_primary,alerted_high_recall,alert_days_high_recall,first_alert_date_high_recall,error_group,lead_time_days_primary,lead_time_days_high_recall,probability_gap_to_primary,failure_detection_tier,first_primary_alert_date,last_primary_alert_date,primary_alert_span_days,longest_consecutive_primary_alert_run,days_from_last_alert_to_last_observation,alert_pattern,possible_right_censoring
1050A0C7F9RG,2023-10-01,2023-10-31,9,0,0.9999999999998581,0.9999952362398239,,0.9999999999998581,0.9999952362398239,9,True,9,2023-10-01,True,9,2023-10-01,false_positive,,,-0.29999999999985816,not_a_failed_drive,2023-10-01,2023-10-31,31,2,0.0,repeated_nonpersistent_alerts,True
1270A14UFVKG,2023-10-04,2023-12-30,32,0,0.7327646976193126,0.44553191391615227,,0.7327646976193126,0.44553191391615227,32,True,6,2023-12-11,True,20,2023-10-27,false_positive,,,-0.032764697619312666,not_a_failed_drive,2023-12-11,2023-12-30,20,1,0.0,repeated_nonpersistent_alerts,True
12A0A027FVKG,2023-10-02,2023-12-31,25,0,0.9908530267614336,0.9858259157077447,,0.9908530267614336,0.9858259157077447,25,True,25,2023-10-02,True,25,2023-10-02,false_positive,,,-0.29085302676143365,not_a_failed_drive,2023-10-02,2023-12-31,91,6,0.0,repeated_nonpersistent_alerts,True
13L0A09NFVKG,2023-11-20,2023-12-29,8,0,0.99999999999864,0.836760526442903,,0.99999999999864,0.836760526442903,8,True,6,2023-12-04,True,6,2023-12-04,false_positive,,,-0.29999999999864,not_a_failed_drive,2023-12-04,2023-12-29,26,2,0.0,repeated_nonpersistent_alerts,True
175PP3IPT,2023-10-03,2023-12-31,29,0,0.8659616167873122,0.8659616167873122,,0.8659616167873122,0.8659616167873122,29,True,29,2023-10-03,True,29,2023-10-03,false_positive,,,-0.16596161678731225,not_a_failed_drive,2023-10-03,2023-12-31,90,6,0.0,repeated_nonpersistent_alerts,True
176IP6ONT,2023-10-01,2023-12-25,29,0,0.9999998713327193,0.9999998713327194,,0.9999998713327193,0.9999998713327194,29,True,29,2023-10-01,True,29,2023-10-01,false_positive,,,-0.2999998713327193,not_a_failed_drive,2023-10-01,2023-12-25,86,2,0.0,repeated_nonpersistent_alerts,True
176IP6OOT,2023-10-01,2023-12-17,29,0,0.9874263118317014,0.9874263118317014,,0.9874263118317014,0.9874263118317014,29,True,29,2023-10-01,True,29,2023-10-01,false_positive,,,-0.2874263118317014,not_a_failed_drive,2023-10-01,2023-12-17,78,5,0.0,repeated_nonpersistent_alerts,True
177QT3DYT,2023-10-01,2023-12-30,35,0,0.8659616167873122,0.8659616167873122,,0.8659616167873122,0.8659616167873122,35,True,35,2023-10-01,True,35,2023-10-01,false_positive,,,-0.16596161678731225,not_a_failed_drive,2023-10-01,2023-12-30,91,5,0.0,repeated_nonpersistent_alerts,True
188DT94RT,2023-10-02,2023-12-31,29,0,0.7409477283818927,0.7409477283818927,,0.7409477283818927,0.7409477283818927,29,True,29,2023-10-02,True,29,2023-10-02,false_positive,,,-0.040947728381892756,not_a_failed_drive,2023-10-02,2023-12-31,91,4,0.0,repeated_nonpersistent_alerts,True
188UP7DZT,2023-10-01,2023-11-07,10,0,0.8041516754195164,0.5815374047048364,,0.8041516754195164,0.5815374047048364,10,True,3,2023-11-02,True,7,2023-10-01,false_positive,,,-0.10415167541951642,not_a_failed_drive,2023-11-02,2023-11-07,6,1,0.0,repeated_nonpersistent_alerts,True
