error_group,feature,row_count,median,p90,p99,maximum,nonzero_row_rate
false_negative,smart_5_raw,2124,0.0,22.0,661.1899999999991,2160.0,0.24105461393596986
false_negative,smart_197_raw,2057,0.0,3.0,11.0,14.0,0.2542537676227516
false_negative,smart_198_raw,2121,0.0,0.0,20.0,22.0,0.09806694955209806
false_positive,smart_5_raw,49777,15.0,11944.0,54320.0,65528.0,0.5960985997549069
false_positive,smart_197_raw,49495,12.0,96.0,1272.0,26496.0,0.6137387614910597
false_positive,smart_198_raw,49777,0.0,68.0,776.0,26496.0,0.4660385318520602
true_negative,smart_5_raw,7316620,0.0,0.0,24.0,2845.0,0.029295631042749248
true_negative,smart_197_raw,7148006,0.0,0.0,0.0,14.0,0.006740621090692985
true_negative,smart_198_raw,7309947,0.0,0.0,0.0,492.0,0.004372398322450217
true_positive,smart_5_raw,2002,24.0,13064.800000000007,48578.560000000005,65520.0,0.6558441558441559
true_positive,smart_197_raw,1979,8.0,606.6000000000015,6239.360000000008,63440.0,0.6058615462354725
true_positive,smart_198_raw,2002,1.0,328.0,6174.3200000000015,63440.0,0.510989010989011
