serial_number,first_observation_date,last_observation_date,observed_days,is_failed,overall_max_probability,overall_mean_probability,failure_date,eligible_max_probability,eligible_mean_probability,eligible_observed_days,alerted_primary,alert_days_primary,first_alert_date_primary,alerted_high_recall,alert_days_high_recall,first_alert_date_high_recall,error_group,lead_time_days_primary,lead_time_days_high_recall,probability_gap_to_primary,failure_detection_tier,miss_pattern
1090A01EF9RG,2023-10-06,2023-12-23,28,1,0.34704210934105184,0.34704210934105184,2023-12-23,0.34704210934105184,0.34704210934105184,28,False,0,,False,0,,false_negative,,,0.3529578906589481,missed_even_at_0.35,weak_signal_below_0.35
10B0A0U8F97G,2023-10-01,2023-11-21,17,1,0.38909980963895946,0.36072427951439817,2023-11-21,0.38909980963895946,0.36072427951439817,17,False,0,,True,11,2023-10-26,false_negative,,26.0,0.3109001903610405,detected_only_at_0.35,moderate_signal_0.35_to_0.60
10K0A0M7F97G,2023-10-10,2023-11-07,11,1,0.30158726606591085,0.29044274910586354,2023-11-07,0.30158726606591085,0.29044274910586354,11,False,0,,False,0,,false_negative,,,0.3984127339340891,missed_even_at_0.35,weak_signal_below_0.35
11C0A012F97G,2023-10-01,2023-11-30,19,1,0.3341195270929709,0.3341195270929709,2023-11-30,0.3341195270929709,0.3341195270929709,19,False,0,,False,0,,false_negative,,,0.3658804729070291,missed_even_at_0.35,weak_signal_below_0.35
11J0A05FF97G,2023-10-05,2023-10-06,2,1,0.3341195270929709,0.3341195270929709,2023-10-06,0.3341195270929709,0.3341195270929709,2,False,0,,False,0,,false_negative,,,0.3658804729070291,missed_even_at_0.35,short_history_under_7_days
1270A0J1FVKG,2023-12-22,2023-12-22,1,1,0.3630029231485883,0.3630029231485883,2023-12-22,0.3630029231485883,0.3630029231485883,1,False,0,,True,1,2023-12-22,false_negative,,0.0,0.33699707685141167,detected_only_at_0.35,short_history_under_7_days
1270A0JSFVKG,2023-10-05,2023-10-23,8,1,0.3348234870593261,0.3348234870593261,2023-10-23,0.3348234870593261,0.3348234870593261,8,False,0,,False,0,,false_negative,,,0.3651765129406739,missed_even_at_0.35,weak_signal_below_0.35
1270A17RFVKG,2023-10-03,2023-12-28,29,1,0.3348234870593261,0.3348234870593261,2023-12-28,0.3348234870593261,0.3348234870593261,29,False,0,,False,0,,false_negative,,,0.3651765129406739,missed_even_at_0.35,weak_signal_below_0.35
1280A03BFVKG,2023-10-07,2023-11-07,16,1,0.3392101623784625,0.33860472314607315,2023-11-07,0.3392101623784625,0.33860472314607315,16,False,0,,False,0,,false_negative,,,0.36078983762153743,missed_even_at_0.35,weak_signal_below_0.35
1290A08EFVKG,2023-10-08,2023-11-05,8,1,0.34245999409712896,0.34245999409712896,2023-11-05,0.34245999409712896,0.34245999409712896,8,False,0,,False,0,,false_negative,,,0.357540005902871,missed_even_at_0.35,weak_signal_below_0.35
1290A0TVFVKG,2023-10-03,2023-11-06,12,1,0.37098527147387156,0.35103263636318843,2023-11-06,0.37098527147387156,0.35103263636318843,12,False,0,,True,2,2023-11-05,false_negative,,1.0,0.3290147285261284,detected_only_at_0.35,moderate_signal_0.35_to_0.60
12C0A041FVKG,2023-10-02,2023-10-22,7,1,0.4403594624238873,0.35306697905526424,2023-10-22,0.4403594624238873,0.35306697905526424,7,False,0,,True,1,2023-10-22,false_negative,,0.0,0.25964053757611266,detected_only_at_0.35,moderate_signal_0.35_to_0.60
