model,false_negative,false_positive,true_negative,true_positive,failed_total,healthy_total,failed_drive_miss_rate,healthy_drive_alert_rate
CT250MX500SSD1,0,0,628,0,0,628,,0.0
DELLBOSS VD,0,0,431,0,0,431,,0.0
HGST HDS5C4040ALE630,0,0,14,0,0,14,,0.0
HGST HDS724040ALE640,0,0,1,0,0,1,,0.0
HGST HMS5C4040ALE640,2,5,2595,0,2,2600,1.0,0.0019230769230769232
HGST HMS5C4040BLE640,1,22,10281,0,1,10303,1.0,0.0021353003979423467
HGST HMS5C4040BLE641,0,0,1,0,0,1,,0.0
HGST HUH721010ALE600,0,0,20,0,0,20,,0.0
HGST HUH721212ALE600,1,48,2568,4,5,2616,0.2,0.01834862385321101
HGST HUH721212ALE604,10,134,13088,7,17,13222,0.5882352941176471,0.010134624111329602
HGST HUH721212ALN604,20,218,10392,20,40,10610,0.5,0.020546654099905748
HGST HUH728080ALE600,2,18,1089,1,3,1107,0.6666666666666666,0.016260162601626018
HGST HUH728080ALE604,0,1,89,0,0,90,,0.011111111111111112
HGST HUS726040ALE610,0,1,32,0,0,33,,0.030303030303030304
HGST HUS726040ALN610,0,1,15,0,0,16,,0.0625
HGST HUS728T8TALE6L4,0,0,20,0,0,20,,0.0
Hitachi HDS5C4040ALE630,0,0,5,0,0,5,,0.0
MTFDDAV240TCB,1,0,86,0,1,86,1.0,0.0
MTFDDAV480TCB,0,0,2,0,0,2,,0.0
SSDSCKKB240GZR,0,0,1,0,0,1,,0.0
ST10000NM001G,0,0,28,0,0,28,,0.0
ST10000NM0086,0,88,1020,5,5,1108,0.0,0.07942238267148015
ST1000LM024 HN,0,0,1,0,0,1,,0.0
ST12000NM0007,1,87,1093,4,5,1180,0.2,0.07372881355932204
ST12000NM0008,25,186,19341,26,51,19527,0.49019607843137253,0.009525272699339376
ST12000NM000J,0,0,196,0,0,196,,0.0
ST12000NM001G,9,76,13069,2,11,13145,0.8181818181818182,0.005781666032712057
ST12000NM003G,0,0,5,0,0,5,,0.0
ST12000NM0117,0,1,7,0,0,8,,0.125
ST14000NM000J,0,0,79,0,0,79,,0.0
ST14000NM0018,1,3,66,0,1,69,1.0,0.043478260869565216
ST14000NM001G,1,138,10627,15,16,10765,0.0625,0.012819321876451463
